Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,FVM,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,xAG,npxG,npxG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,Cmp,Att,Cmp%,PrgP,KP,PPA,PrgC,PrgR,SCA,SCA90,GCA,GCA90,Tkl,Int,Blocks,Tkl+Int,Clr,Err,Touches,Carries,Mis,Dis,CrdY,CrdR,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,PlayerScore,Score
6431,D,paz,Sassuolo,1,1,0,5,nicolas paz,ar ARG,"MF,FW",Como,19.0,2004.0,35,30,2687,29.9,6,8,14,6,0,1,9.3,6.0,8.5,14.5,109,37,33.9,3.65,1.24,992,1231,80.6,163,54,38,77,171,144,4.82,16,0.54,51,21,29,72,16,0,1683,1093,101,45,6,0,,,,,,,,,,,,,,,,,,,,,,92.86467689121928,100.0
7164,D,perez,Lecce,1,1,0,1,ayoze perez,es ESP,FW,Villarreal,31.0,1993.0,30,22,1970,21.9,19,2,21,19,0,0,12.7,3.0,12.7,15.7,75,31,41.3,3.43,1.42,314,414,75.8,73,32,21,59,124,72,3.26,5,0.23,27,8,12,35,15,0,705,429,62,34,4,0,,,,,,,,,,,,,,,,,,,,,,86.97085489002694,99.49748743718592
7202,D,ndiaye,Parma,4,4,0,10,iliman ndiaye,sn SEN,FW,Everton,24.0,2000.0,33,29,2430,27.0,9,0,9,7,2,2,6.2,1.9,4.7,6.5,35,15,42.9,1.3,0.56,602,736,81.8,59,18,14,86,122,65,2.41,8,0.3,53,20,22,73,24,1,1084,621,55,44,3,0,,,,,,,,,,,,,,,,,,,,,,80.88320686963843,85.92964824120605
5513,D,dumfries,Inter,21,20,1,107,denzel dumfries,nl NED,"DF,FW",Inter,28.0,1996.0,28,19,1865,20.7,7,2,9,7,0,0,5.4,3.2,5.4,8.6,36,19,52.8,1.74,0.92,603,831,72.6,51,21,21,55,173,55,2.53,4,0.18,25,6,27,31,26,1,1047,534,27,14,4,0,,,,,,,,,,,,,,,,,,,,,,100.0,82.41206030150754
254,D,dimarco,Inter,19,19,0,94,federico dimarco,it ITA,"DF,FW",Inter,26.0,1997.0,32,28,2140,23.8,4,7,11,4,0,0,3.3,6.1,3.3,9.5,55,20,36.4,2.31,0.84,973,1275,76.3,83,48,40,47,232,96,4.0,14,0.58,25,14,29,39,33,2,1475,789,18,10,3,0,,,,,,,,,,,,,,,,,,,,,,98.16248465905997,80.90452261306534
2160,D,gosens,Fiorentina,18,18,0,83,robin gosens,de GER,DF,Fiorentina,30.0,1994.0,31,28,2434,27.0,5,5,10,5,0,0,1.8,2.4,1.8,4.1,23,8,34.8,0.85,0.3,1020,1334,76.5,102,27,32,31,91,66,2.36,14,0.5,56,18,29,74,91,0,1606,781,31,5,6,0,,,,,,,,,,,,,,,,,,,,,,87.49521213741201,78.89447236180904
2816,D,di lorenzo,Napoli,14,14,0,53,giovanni di lorenzo,it ITA,DF,Napoli,30.0,1993.0,37,37,3330,37.0,3,2,5,3,0,0,2.8,3.9,2.8,6.7,21,6,28.6,0.57,0.16,1870,2236,83.6,224,37,54,50,163,80,2.16,8,0.22,66,31,48,97,85,1,2541,1202,28,14,6,0,,,,,,,,,,,,,,,,,,,,,,88.49361626078364,72.36180904522614
6485,D,kristensen,Udinese,7,5,2,12,rasmus kristensen,dk DEN,DF,Eint Frankfurt,27.0,1997.0,30,28,2513,27.9,5,3,8,5,0,0,2.5,3.1,2.5,5.6,24,8,33.3,0.86,0.29,1263,1626,77.7,172,20,35,51,162,60,2.15,10,0.36,59,20,38,79,97,1,1955,1084,37,15,4,0,,,,,,,,,,,,,,,,,,,,,,69.26521880978041,71.35678391959799
7222,D,cham,Verona,2,1,1,1,hicham boudaoui,dz ALG,MF,Nice,24.0,1999.0,29,27,2435,27.1,2,3,5,2,0,0,2.7,3.0,2.7,5.8,39,18,46.2,1.44,0.67,943,1134,83.2,124,22,32,54,75,65,2.4,7,0.26,76,22,27,98,45,1,1467,770,38,26,9,0,,,,,,,,,,,,,,,,,,,,,,58.95556413626027,71.35678391959799
4433,D,zortea,Bologna,16,16,0,40,nadir zortea,it ITA,"DF,MF",Cagliari,25.0,1999.0,35,33,2713,30.1,6,2,8,6,0,0,3.1,2.4,3.1,5.5,33,10,30.3,1.09,0.33,557,827,67.4,63,28,31,69,144,57,1.89,3,0.1,30,19,41,49,47,2,1115,661,57,31,2,0,,,,,,,,,,,,,,,,,,,,,,74.22943918441038,69.34673366834173
