Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
7411,P,Por,Daffara,Parma,7,7,0,7,7,0,5,5
6415,P,Por,Palmisani,Frosinone,4,4,0,4,4,0,8,8
7463,P,Por,Desplanches,Frosinone,2,2,0,2,2,0,8,8
7533,P,Por,Happonen,Bologna,1,1,0,1,1,0,1,1
7301,P,Por,Tornqvist,Como,1,1,0,1,1,0,1,1
7466,P,Por,Lolic,Frosinone,1,1,0,1,1,0,1,1
6569,P,Por,Stolz,Genoa,1,1,0,1,1,0,1,1
1930,P,Por,Pinsoglio,Juventus,1,1,0,1,1,0,1,1
7534,P,Por,Renzetti,Lazio,1,1,0,1,1,0,1,1
6813,P,Por,Torriani,Milan,1,1,0,1,1,0,1,1
6682,P,Por,Pizzignacco,Monza,1,1,0,1,1,0,1,1
7475,P,Por,Strajnar,Monza,1,1,0,1,1,0,1,1
7048,P,Por,De Marzi,Roma,1,1,0,1,1,0,1,1
7457,P,Por,Mascardi,Torino,1,1,0,1,1,0,1,1
7363,P,Por,Siviero,Torino,1,1,0,1,1,0,1,1
5707,P,Por,Piana,Udinese,1,1,0,1,1,0,1,1
6671,P,Por,Grandi,Venezia,1,1,0,1,1,0,1,1
7531,P,Por,Pozzi,Venezia,1,1,0,1,1,0,1,1
7545,P,Por,Vismara,Atalanta,1,1,0,1,1,0,1,1
2127,P,Por,Satalino,Sassuolo,1,1,0,1,1,0,1,1
7557,P,Por,Penev,Lecce,1,1,0,1,1,0,1,1
7560,P,Por,Pisseri,Frosinone,1,1,0,1,1,0,1,1
4468,P,Por,Bleve,Lecce,1,1,0,1,1,0,1,1
7414,D,Ds;E,Kaiki,Como,7,7,0,7,7,0,23,23
7410,D,Ds;Dc,Viery,Fiorentina,6,6,0,7,7,0,19,21
7532,D,Dc,Kofler,Cagliari,5,5,0,5,5,0,11,11
7469,D,Ds;Dc,Bracaglia,Frosinone,5,5,0,5,5,0,11,13
7467,D,Dc,Calvani,Frosinone,4,4,0,4,4,0,10,10
7537,D,Ds;E,Mitaj,Genoa,4,4,0,4,4,0,9,9
6659,D,Dc,Lucchesi,Monza,4,4,0,4,4,0,12,12
7538,D,Dc,Halhal,Venezia,4,4,0,4,4,0,10,10
7563,D,Dd;Ds;E,Favasuli,Napoli,4,4,0,5,5,0,11,13
5757,D,Dc,Cittadini,Frosinone,3,3,0,3,3,0,8,8
7012,D,Dc,Provstgaard,Lazio,3,3,0,3,3,0,10,10
7131,D,Dd;E,Floriani Mussolini,Lazio,3,3,0,3,3,0,12,12
7413,D,Ds;E,Puczka,Genoa,2,2,0,2,2,0,7,7
5424,D,Dc,Amey,Frosinone,1,1,0,1,1,0,1,1
7471,D,Ds;E,Corrado,Frosinone,1,1,0,1,1,0,3,3
7476,D,Dd;E,Bakoune,Monza,1,1,0,1,1,0,4,4
7156,D,Ds;E,Pieragnolo,Sassuolo,1,1,0,1,1,0,1,1
6021,D,Dd;Dc,Abankwah,Udinese,1,1,0,1,1,0,3,3
7553,D,Dc,Omar Fayed,Frosinone,1,1,0,1,1,0,1,1
7436,C,W;T,Alajbegovic,Juventus,12,12,0,12,12,0,56,56
7472,C,M;C,Calò,Frosinone,7,7,0,8,8,0,25,28
6678,C,T,Liberali,Como,6,6,0,5,5,0,22,20
7464,C,M;C,Oulai,Fiorentina,6,6,0,7,7,0,20,22
7528,C,M;C,Amondarain,Bologna,5,5,0,6,6,0,12,14
7409,C,W;T,Meichtry,Genoa,5,5,0,5,5,0,14,14
7060,C,E;W,Cacciamani,Torino,5,5,0,6,6,0,18,20
7473,C,M;C,Cichella,Frosinone,4,4,0,4,4,0,11,13
7474,C,C,Koutsoupias,Frosinone,4,4,0,4,4,0,12,12
6903,C,C;T,Hasa,Frosinone,2,2,0,2,2,0,5,5
7481,C,C,Dagasso,Venezia,1,1,0,1,1,0,1,1
6530,A,W;A,Ghedjemis,Frosinone,9,9,0,10,10,0,30,32
5436,A,Pc,Raimondo,Frosinone,7,7,0,6,6,0,24,21
6598,A,Pc,Mutandwa,Cagliari,6,6,0,6,6,0,15,12
4387,A,Pc,Adorante,Venezia,5,5,0,4,4,0,14,12
6204,A,W;A,Kvernadze,Frosinone,4,4,0,5,5,0,15,16
7453,A,Pc,Havel,Genoa,4,4,0,3,3,0,9,7
7027,A,Pc,Azon,Como,1,1,0,1,1,0,1,1
7408,A,W;A,Lisman,Venezia,1,1,0,1,1,0,1,1
7561,A,A,Lontani,Parma,1,1,0,1,1,0,3,3
7568,A,Pc,De Martis,Parma,1,1,0,1,1,0,1,1
